[2026-08-10T18:43:00.981Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.118.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.981Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNO8te1Xb7G7tnec9TbeD-cJyfcqH9C_7Ndnhw.119.woff2 → 200 (1ms, -814B)
[2026-08-10T18:43:00.982Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNOwtW_WpzEpMs.woff2 → 200 (1ms, -815B)
[2026-08-10T18:43:00.983Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.113.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.983Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.115.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.984Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.117.woff2 → 200 (2ms, -814B)
[2026-08-10T18:43:00.986Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.118.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.986Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.119.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.987Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbT7HmqeHWdb8.woff2 → 200 (?ms, -815B)
[2026-08-10T18:43:00.987Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.111.woff2 → 200 (1ms, -814B)
[2026-08-10T18:43:00.988Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.113.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.988Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.116.woff2 → 200 (1ms, -814B)
[2026-08-10T18:43:00.989Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.117.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.989Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.118.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.989Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.119.woff2 → 200 (?ms, -814B)
[2026-08-10T18:43:00.989Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6aT7HmqeHWdb8.woff2 → 200 (?ms, -815B)
[2026-08-10T18:43:00.990Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, -815B)
[2026-08-10T18:43:00.990Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYoEf6HOpW3pwfa0.woff2 → 200 (?ms, -815B)
[2026-08-10T18:43:00.991Z] GET https://cdn.jsdelivr.net/npm/world-atlas@2/land-110m.json → 200 (7ms, -1030B)
[2026-08-10T18:45:12.639Z] GET https://w0-0n9.github.io/traivel/?nocache=1786387512 → 200 (103ms, 13392B)
[2026-08-10T18:45:12.792Z] GET https://fonts.googleapis.com/css2?family=Zilla+Slab:wght@600;700&family=Oswald:wght@400;500;600&family=IBM+Plex+Sans+KR:wght@400;500;600;700&display=swap → 200 (?ms, -743B)
[2026-08-10T18:45:12.792Z] GET https://w0-0n9.github.io/traivel/profile.jpg → 200 (?ms, -685B)
[2026-08-10T18:45:12.792Z] GET https://cdn.jsdelivr.net/npm/d3@7/dist/d3.min.js → 200 (1ms, -1103B)
[2026-08-10T18:45:12.793Z] GET https://cdn.jsdelivr.net/npm/topojson-client@3/dist/topojson-client.min.js → 200 (?ms, -1105B)
